,TimeStamp,USM,SUJvalues,JointValues,EndoscopePosition,EE
95,1.64E+12,1,0.0239019 -0.00451086 0.0571615 -0.31682 0.0 0.0,0.7856 -1.30894 0.0773085 0.145466 0.942123 -0.0566862 -0.392092 0.254762 0.759259 0.0571457,0.0106758 0.0151854 0.0552653 -0.654233 0.370023 -0.659589 -0.518329 -0.854476 0.0347647 -0.550738 0.364628 0.750821,[0.0505333562657385 0.302833062461147 -0.951702955855934 0.968377867514077;-0.99028124354161 0.138824971145607 -0.00840750118072915 -0.11507837967737;0.129574066055683 0.942878445859711 0.306905193405021 0.993296433804267;0 0 0 1]
100,1.64E+12,1,0.0239019 -0.00451086 0.0571615 -0.31682 0.0 0.0,0.7856 -1.26458 0.0170994 0.141219 0.938475 -0.0993288 -0.341503 0.238116 0.759549 0.0571457,0.0140144 0.00430769 0.0546578 -0.723349 0.345742 -0.597681 -0.385955 -0.920211 -0.0652126 -0.572538 0.183507 0.799076,[-0.00359667853302492 0.268312612065314 -0.963325181914299 1.01308665045615;-0.995112109834575 0.0941077367785965 0.0299269567278686 -0.10685454448443;0.0986861325826045 0.958724191874336 0.266662654210877 0.978615799985813;0 0 0 1]
104,1.64E+12,1,0.0239019 -0.00451086 0.0571615 -0.31682 0.0 0.0,0.7856 -1.23983 -0.00336766 0.140007 0.745213 -0.242189 -0.301742 0.224325 0.759404 0.0571457,0.0149917 0.00178605 0.0558994 -0.770513 0.245384 -0.588295 -0.202415 -0.969355 -0.13922 -0.604427 0.0118088 0.796571,[-0.124122259858005 0.101350700160914 -0.98707735268551 1.16651771931194;-0.991102302431259 0.0355195226949342 0.128275444349187 -0.0744848709289126;0.0480613225286107 0.994216474961271 0.0960401488565286 0.918302779242104;0 0 0 1]
110,1.64E+12,1,0.023838 -0.00451086 0.0571615 -0.316916 0.0 0.0,0.7856 -1.2352 -0.00514102 0.144744 0.699669 -0.20712 -0.362639 0.316529 0.759295 0.0571457,0.0125723 0.00323475 0.0613789 -0.735578 0.194603 -0.648882 -0.197716 -0.97782 -0.0691234 -0.647941 0.0774492 0.757741,[-0.0374033171326159 -0.0472389390943616 -0.998183086663322 1.13854179232252;-0.993585084092576 0.108435764480307 0.0320993091875767 -0.0813914688747116;0.106722408781966 0.992980446743445 -0.0509917625598902 0.92852711831313;0 0 0 1]
115,1.64E+12,1,0.0239019 -0.00451086 0.0571772 -0.31682 0.0 0.0,0.7856 -1.23769 -0.00958383 0.149874 0.673731 -0.163005 -0.360373 0.320987 0.759223 0.0571615,0.00943021 0.00429398 0.0655827 -0.742298 0.16597 -0.649186 -0.182031 -0.982353 -0.0430109 -0.644868 0.0862453 0.759412,[-0.0490526512719752 -0.0717745986864344 -0.996213955125399 1.09887516158602;-0.993785152513345 0.103293587757991 0.0414910276097156 -0.0883117999736147;0.0999245117437058 0.992057882238473 -0.0763953548411064 0.941135340854881;0 0 0 1]
120,1.64E+12,1,0.0239019 -0.00451086 0.0571615 -0.316916 0.0 0.0,0.7856 -1.26314 0.000658989 0.15386 0.708765 -0.15274 -0.357632 -0.285267 0.759187 0.0571457,0.00593829 0.00969134 0.0661459 -0.722048 0.207465 -0.66 -0.245955 -0.968635 -0.0354064 -0.646644 0.136766 0.750429,[-0.407259017292245 0.554111619124703 -0.726016808610624 1.08563189944823;-0.79380137355778 0.178382831237573 0.581428366058493 -0.0851780778901411;0.451685147167733 0.813105084887967 0.367206547813892 0.95073459256413;0 0 0 1]
125,1.64E+12,1,0.0239019 -0.00451086 0.0571615 -0.316916 0.0 0.0,0.7856 -1.31334 0.04164 0.15356 0.800203 -0.22296 -0.407766 -1.2687 0.759476 0.0571457,0.00367622 0.0161391 0.0621172 -0.651973 0.298652 -0.696945 -0.317186 -0.942301 -0.107075 -0.688709 0.151251 0.709085,[0.149691146443677 0.959587545685528 -0.238294571573927 1.14258787945153;0.124918242000773 0.220724051520439 0.967303636866852 -0.0676223131222178;0.980809866126873 -0.17456412932108 -0.0868295529330847 0.910953578669753;0 0 0 1]
130,1.64E+12,1,0.0239019 -0.00451086 0.0571615 -0.316916 0.0 0.0,0.7856 -1.34503 0.043203 0.154487 0.867296 -0.302339 -0.496216 -1.28817 0.759349 0.0571457,0.000139697 0.0164998 0.0619086 -0.589833 0.366675 -0.719473 -0.325364 -0.923356 -0.203846 -0.739074 0.113856 0.663931,[0.196335308699097 0.928843478236086 -0.314169125625545 1.19853158390257;0.254063611096891 0.261273128636166 0.931229313203293 -0.0539424943479635;0.947050224684224 -0.262652137228995 -0.184688187858896 0.867275193806656;0 0 0 1]
135,1.64E+12,1,0.0239019 -0.00451086 0.0571615 -0.31682 0.0 0.0,0.7856 -1.35203 0.0416555 0.155584 0.849146 -0.34868 -0.517357 -1.32195 0.759314 0.0571457,-0.000424894 0.0166752 0.0624072 -0.591099 0.354849 -0.724348 -0.280282 -0.932432 -0.228066 -0.756334 0.0682118 0.650619,[0.199923075206951 0.926897705030357 -0.317634079420414 1.24162008923991;0.313723276509734 0.246556215586897 0.916944784777941 -0.0476277268650263;0.928228673213553 -0.282967625294707 -0.241497108179956 0.845306467103396;0 0 0 1]
140,1.64E+12,1,0.0239019 -0.00451086 0.0571615 -0.316916 0.0 0.0,0.7856 -1.35497 0.0421963 0.156319 0.814449 -0.384687 -0.493696 -1.31452 0.759314 0.0571457,-0.00102536 0.0168336 0.0627404 -0.617325 0.339896 -0.709489 -0.250429 -0.93984 -0.232353 -0.745782 0.0342397 0.665308,[0.184093075392431 0.942653504090392 -0.278413560766464 1.28012322684981;0.270625660943044 0.223696027398588 0.936334256003288 -0.0450193729623926;0.944918774938723 -0.24771850668086 -0.213925337947863 0.832405050957092;0 0 0 1]
145,1.64E+12,1,0.0239019 -0.00451086 0.0571615 -0.31682 0.0 0.0,0.7856 -1.35634 0.0429319 0.15656 0.792021 -0.413737 -0.46538 -1.31567 0.75944 0.0571457,-0.00120275 0.0166505 0.0628074 -0.639164 0.328768 -0.695252 -0.223185 -0.944411 -0.24141 -0.735971 0.000869185 0.677011,[0.181611601239536 0.951814083636757 -0.247117738104596 1.31075933098249;0.230263672693044 0.203149231273906 0.951687464912054 -0.0430139006811969;0.95603131085395 -0.229739722345835 -0.182273949436929 0.822667664127586;0 0 0 1]
150,1.64E+12,1,0.023838 -0.00451086 0.0571615 -0.31682 0.0 0.0,0.7856 -1.3576 0.0422868 0.156836 0.780846 -0.42206 -0.454048 -1.31287 0.759386 0.0571457,-0.00144701 0.016623 0.0628645 -0.644788 0.330003 -0.68945 -0.218293 -0.943935 -0.247661 -0.732524 -0.00918645 0.680677,[0.175704885326047 0.956759449043189 -0.231817061363341 1.32091922015526;0.210189968983899 0.193590330439392 0.958302124018785 -0.0435365622518582;0.961742153703948 -0.217103985746327 -0.167086472109355 0.821181477414778;0 0 0 1]
160,1.64E+12,1,0.0239019 -0.00451086 0.0571615 -0.316916 0.0 0.0,0.7856 -1.35938 0.0422134 0.156613 0.779867 -0.454852 -0.427655 -1.3135 0.759349 0.0571457,-0.0014934 0.0163002 0.062538 -0.668364 0.334596 -0.664327 -0.208921 -0.941608 -0.264064 -0.713889 -0.0376987 0.699242,[0.185173023952835 0.959241647726484 -0.213462906536809 1.35071871384551;0.171052299634265 0.182441486734146 0.968223225660315 -0.0397521814164314;0.967704532380619 -0.215802143606624 -0.130297247955564 0.807464229506062;0 0 0 1]
170,1.64E+12,1,0.023838 -0.00451086 0.0571615 -0.31682 0.0 0.0,0.7856 -1.35788 0.0411694 0.156386 0.770647 -0.466473 -0.413855 -1.31508 0.759386 0.0571457,-0.0010337 0.0159891 0.0624162 -0.67585 0.332421 -0.657814 -0.201609 -0.941854 -0.268824 -0.708926 -0.049063 0.703572,[0.182022205292996 0.962657155741442 -0.200397398386487 1.36400026849508;0.153180931450073 0.173552957849459 0.972838616144421 -0.0393935198015892;0.97128961644834 -0.207775290449807 -0.115870227660671 0.805223844697002;0 0 0 1]
180,1.64E+12,1,0.0239019 -0.00451086 0.0571615 -0.316916 0.0 0.0,0.7856 -1.33645 0.0602262 0.15272 0.749146 -0.325448 -0.603012 0.153157 0.759386 0.0571457,0.00629656 0.0183672 0.0596765 -0.529712 0.226828 -0.817282 -0.214255 -0.968113 -0.129825 -0.820669 0.106337 0.561422,[-0.0454967817277034 0.166488364836478 -0.984993232071417 1.22089323050484;-0.893963796390541 0.433258662421146 0.114523631535376 -0.0654216972751521;0.445823702370604 0.885758745828183 0.12912269588826 0.85948851562754;0 0 0 1]
185,1.64E+12,1,0.0239019 -0.00451086 0.0571615 -0.316916 0.0 0.0,0.7856 -1.31275 0.108073 0.147059 0.709909 -0.178677 -0.610939 0.256704 0.759422 0.0571457,0.0136274 0.0218051 0.05566 -0.584424 0.174927 -0.792366 -0.329952 -0.943346 0.0351021 -0.741335 0.281958 0.609033,[0.0562372845601422 0.0500308476023761 -0.997163117104464 1.08637740730947;-0.902412172860752 0.429874738584474 -0.0293254053623524 -0.0814078926220786;0.427188059404798 0.901501316369044 0.069323433893917 0.909325543524183;0 0 0 1]
190,1.64E+12,1,0.0239019 -0.00451086 0.0571615 -0.31682 0.0 0.0,0.7856 -1.27275 0.0691103 0.143008 1.17881 0.091742 -0.40749 0.118923 0.759241 0.0571457,0.0140097 0.0117294 0.0557996 -0.492606 0.601732 -0.628691 -0.799448 -0.59833 0.0537264 -0.343834 0.529071 0.775796,[0.143283208431681 0.547407963878596 -0.824508607149624 0.871157501326953;-0.962420960329033 0.271258041174161 0.012844073251838 -0.177165264716099;0.230685537693339 0.79168402546764 0.565703620740126 1.13290558525768;0 0 0 1]
195,1.64E+12,1,0.0239019 -0.00451086 0.0571615 -0.31682 0.0 0.0,0.7856 -1.24341 0.00925481 0.143487 1.68962 0.0403061 -0.128376 0.150179 0.759259 0.0571457,0.0127661 0.00535195 0.0584451 -0.296305 0.868936 -0.396418 -0.955077 -0.272045 0.117562 -0.00568865 0.413444 0.91051,[0.058778982053316 0.904160781198257 -0.423129191869025 0.959604561381705;-0.99752988672746 0.0368682884851194 -0.0597900860484298 -0.201096042519645;-0.0384598017971567 0.425598415230997 0.904094482119312 1.19149575441774;0 0 0 1]
200,1.64E+12,1,0.0239019 -0.00451086 0.0571615 -0.31682 0.0 0.0,0.7856 -1.2469 -0.00333798 0.144655 1.91682 -0.0975723 0.0130423 0.243623 0.759314 0.0571457,0.0123514 0.00539325 0.0593287 -0.194095 0.936182 -0.293062 -0.971488 -0.141972 0.189887 0.136163 0.321561 0.937046,[-0.0841895508066089 0.964986748844546 -0.2484203978932 0.998123862251806;-0.985841408225362 -0.116944665953122 -0.120169309448577 -0.157830348882531;-0.145013231683238 0.234786114707721 0.961169414295543 1.09754062688917;0 0 0 1]
205,1.64E+12,1,0.0239019 -0.00451086 0.0571615 -0.316916 0.0 0.0,0.7856 -1.24398 -0.00545275 0.147383 1.95032 -0.0649209 -0.0379924 0.306914 0.758934 0.0571457,0.0112383 0.00600117 0.0632072 -0.129453 0.943145 -0.306129 -0.98512 -0.0871219 0.148161 0.113068 0.320753 0.94039,[0.00204126710300362 0.954049937098453 -0.299640702760912 0.998402546811342;-0.980217549491868 -0.0573939583743655 -0.189418819577883 -0.173859389615078;-0.197912578925067 0.294099729793416 0.935059335036375 1.13081573909656;0 0 0 1]
210,1.64E+12,1,0.0239019 -0.00451086 0.0571615 -0.316916 0.0 0.0,0.7856 -1.23567 0.00174522 0.153293 2.06574 -0.105656 -0.0146266 0.313567 0.759223 0.0571457,0.0112797 0.00818091 0.0695177 -0.032576 0.966031 -0.256356 -0.978248 0.0217592 0.206299 0.20487 0.257499 0.94431,[0.00270830824452904 0.98404410032325 -0.177904113739563 1.00225413177618;-0.98088696643425 -0.0319990249015742 -0.191929209566347 -0.161288374214631;-0.194559564519113 0.175023629902808 0.965149369180635 1.10592795793312;0 0 0 1]
215,1.64E+12,1,0.0239019 -0.00451086 0.0571615 -0.31682 0.0 0.0,0.7856 -1.24612 0.0396329 0.152722 1.98394 -0.0934396 0.112478 -0.549147 0.759512 0.0571457,0.0130521 0.0144411 0.0638007 -0.248067 0.929852 -0.271721 -0.924404 -0.143322 0.353467 0.28973 0.338862 0.895113,[0.400948795500319 0.778551880868895 0.482801234652883 1.01295753270114;-0.855484661009029 0.129682267719541 0.501326743967828 -0.15389405705101;0.327698120478451 -0.61403540470776 0.718035140922969 1.09833839389436;0 0 0 1]
220,1.64E+12,1,0.0239019 -0.00451086 0.0571615 -0.316916 0.0 0.0,0.7856 -1.28252 0.0890663 0.145808 1.57466 0.0349989 -0.084318 -0.494033 0.759512 0.0571457,0.014183 0.0199977 0.0558056 -0.52471 0.686795 -0.502978 -0.836573 -0.525373 0.155341 -0.157562 0.502286 0.850224,[0.248011350576703 0.967071368518818 0.0571256350184434 0.959674006900965;-0.850302993038359 0.189051831349148 0.491166188874542 -0.184983528913287;0.464193052527856 -0.170388888295786 0.869190679155154 1.16119195785877;0 0 0 1]
225,1.64E+12,1,0.0239019 -0.00451086 0.0571615 -0.316916 0.0 0.0,0.7856 -1.2817 0.101971 0.144932 1.26607 0.0193372 -0.497965 -1.37343 0.759712 0.0571457,0.0152063 0.0192974 0.0571065 -0.438836 0.565487 -0.698314 -0.71672 -0.689019 -0.107558 -0.541973 0.453295 0.707663,[0.473913720190048 0.631776030914461 -0.613404297814743 0.932959591392249;0.444162883506371 0.429985842475092 0.786022587580212 -0.145088573680421;0.760345394364255 -0.644958310306143 -0.076835273384755 1.08903974248115;0 0 0 1]
230,1.64E+12,1,0.0239019 -0.00451086 0.0571615 -0.31682 0.0 0.0,0.7856 -1.27791 0.0948771 0.146399 1.15503 -0.0231409 -0.632859 -1.314 0.759494 0.0571457,0.0140661 0.0191635 0.0587595 -0.433772 0.47837 -0.763543 -0.607335 -0.781212 -0.144412 -0.665571 0.401085 0.6294,[0.27130280752634 0.713411827356161 -0.646094692144014 0.951538044585335;0.520673806441804 0.455786498067866 0.721912359960982 -0.122070937506429;0.809502053063319 -0.532261432725849 -0.247798695151724 1.04016914350494;0 0 0 1]
235,1.64E+12,1,0.0239019 -0.00451086 0.0571615 -0.316916 0.0 0.0,0.7856 -1.30178 0.0779272 0.149547 0.995531 -0.132531 -0.778755 -0.522948 0.759295 0.0571457,0.00815585 0.0176302 0.0604737 -0.355769 0.393369 -0.847753 -0.414968 -0.879272 -0.23385 -0.837394 0.268593 0.476054,[-0.0556756561426498 0.607631330463961 -0.792265351729887 1.02680755879245;-0.274253726894062 0.753667983881439 0.597301819314828 -0.0879136319382267;0.960044329496197 0.250536896106508 0.124684197441031 0.957069426540687;0 0 0 1]
240,1.64E+12,1,0.0239019 -0.00451086 0.0571615 -0.316916 0.0 0.0,0.7856 -1.31472 0.0363401 0.152563 0.950214 -0.200409 -0.831149 -0.097883 0.759204 0.0571457,0.00372876 0.0133293 0.0631809 -0.286356 0.419921 -0.861198 -0.40223 -0.868487 -0.289732 -0.869603 0.263433 0.417602,[0.0368512823991488 0.282851905763899 -0.958455414920939 1.08775179922335;-0.595871669437301 0.776170344342599 0.206146913935416 -0.082017236236039;0.802233716910192 0.563519650029014 0.19714630984027 0.922314642219119;0 0 0 1]
