,TimeStamp,USM,SUJvalues,JointValues,EndoscopePosition,EE
45,1.64E+12,1,0.0239019 -0.00451086 0.0571615 -0.31682 0.0 0.0,0.7856 -1.3176 0.0509012 0.159112 0.735924 -0.345749 -0.590853 -1.30184 0.75944 0.0571457,0.00255891 0.0168036 0.0672713 -0.556862 0.259199 -0.789123 -0.168671 -0.965556 -0.198127 -0.813296 0.0227736 0.581402,[0.0643213300618175 0.94920501711396 -0.30801396394444 1.25732503395205;0.412735810846033 0.255713080485952 0.874219635396994 -0.047705390459748;0.908576863531285 -0.183359362875401 -0.375323096946592 0.856755391043243;0 0 0 1]
50,1.64E+12,1,0.0239019 -0.00451086 0.0571615 -0.316916 0.0 0.0,0.7856 -1.31909 0.0522429 0.157758 0.7248 -0.365218 -0.601884 -1.29959 0.759314 0.0571457,0.00324561 0.0163891 0.0662114 -0.553745 0.25744 -0.791888 -0.152353 -0.966278 -0.207599 -0.818627 0.00569034 0.574295,[0.0516654191616218 0.951354901142172 -0.303734318995436 1.27744807626478;0.424517160054467 0.254372070061178 0.868953411174662 -0.0459357946459551;0.903944614056715 -0.17383527273128 -0.390724241214053 0.850068744858485;0 0 0 1]
55,1.64E+12,1,0.0239019 -0.00451086 0.0571615 -0.316916 0.0 0.0,0.7856 -1.31957 0.05238 0.157813 0.722212 -0.368614 -0.599457 -1.30339 0.759404 0.0571457,0.00281267 0.0165029 0.0664125 -0.555552 0.255117 -0.791373 -0.151036 -0.966897 -0.205674 -0.817647 0.00526303 0.575695,[0.0543292558684819 0.952134556674828 -0.300812429833619 1.28106453408488;0.424911852126537 0.250574440628419 0.869863418949292 -0.0457376476237529;0.903602927108569 -0.175077798962015 -0.390959735051376 0.849022061773291;0 0 0 1]
60,1.64E+12,1,0.0239019 -0.00451086 0.0571615 -0.31682 0.0 0.0,0.7856 -1.32156 0.0520792 0.158097 0.7201 -0.369707 -0.5962 -1.3047 0.759331 0.0571457,0.00249353 0.0165761 0.0665021 -0.55492 0.255233 -0.79178 -0.149738 -0.966872 -0.206732 -0.818314 0.00384054 0.574756,[0.0566937717341217 0.953255719616662 -0.296798499431312 1.28247297043283;0.420942618071394 0.246739571566678 0.872884239813214 -0.0461092548644635;0.905313828756504 -0.17442223723256 -0.387277361358792 0.84884169713533;0 0 0 1]
65,1.64E+12,1,0.0239019 -0.00451086 0.0571615 -0.31682 0.0 0.0,0.7856 -1.32199 0.0499225 0.158193 0.725933 -0.376647 -0.590805 -1.30476 0.759314 0.0571457,0.00231293 0.0161236 0.0665536 -0.560712 0.267334 -0.783665 -0.150275 -0.963584 -0.22119 -0.814258 -0.00625771 0.580468,[0.0618055152678572 0.952902606013588 -0.296911942728798 1.28818124867588;0.413543584192568 0.246295435898554 0.876538796761847 -0.0451693172638033;0.908384160064254 -0.176960960971779 -0.378844342753466 0.846149205732344;0 0 0 1]
70,1.64E+12,1,0.0239019 -0.00451086 0.0571615 -0.31682 0.0 0.0,0.7856 -1.32183 0.0489486 0.158183 0.728558 -0.380965 -0.588455 -1.3045 0.759241 0.0571457,0.00235433 0.0160471 0.0665601 -0.561522 0.267826 -0.782915 -0.150307 -0.963443 -0.22178 -0.813693 -0.00685602 0.581253,[0.0636233553377933 0.952716728005875 -0.297124392861544 1.2918519567384;0.410167942964826 0.246455517928749 0.878078547879673 -0.0445064822114322;0.909788067200029 -0.177737204490934 -0.375093533562208 0.844500778637055;0 0 0 1]
77,1.64E+12,1,0.0239019 -0.00451086 0.0571615 -0.316916 0.0 0.0,0.7856 -1.31981 0.0495688 0.15868 0.716703 -0.373412 -0.594672 -1.30341 0.759277 0.0571457,0.00265962 0.016323 0.0674224 -0.554827 0.237857 -0.797236 -0.131253 -0.971286 -0.198443 -0.821545 -0.00546169 0.570117,[0.0520835651608475 0.954673495564787 -0.293062824503974 1.287007897069;0.418591485258553 0.245566785300385 0.874344395776787 -0.0460561877071138;0.906679916348198 -0.168212576293647 -0.386828202781906 0.848906347939431;0 0 0 1]
83,1.64E+12,1,0.0239019 -0.00451086 0.0571615 -0.31682 0.0 0.0,0.7856 -1.30347 0.0670751 0.157595 0.670864 -0.286746 -0.663838 0.0216696 0.759096 0.0571457,0.00733157 0.0194075 0.0665135 -0.515704 0.14763 -0.843948 -0.158688 -0.984458 -0.075243 -0.84194 0.0951217 0.531118,[-0.156437890697215 0.203866157463843 -0.966419047926485 1.19624803284229;-0.795352625308764 0.554142293039113 0.245643075375249 -0.0663816716683154;0.585611977139012 0.807071811492807 0.0754566320813198 0.881026956638599;0 0 0 1]
85,1.64E+12,1,0.0239019 -0.00451086 0.0571615 -0.31682 0.0 0.0,0.7856 -1.30052 0.0880829 0.155977 0.651474 -0.22017 -0.636454 0.302653 0.759349 0.0571457,0.00986752 0.0221224 0.0643866 -0.57062 0.100161 -0.81508 -0.201885 -0.979185 0.0210074 -0.79601 0.176541 0.578965,[0.0575126274074453 -0.0565533526215818 -0.996741699737676 1.13288494851555;-0.886169457534015 0.456909126293597 -0.0770567507976503 -0.0772353402133572;0.459778196767269 0.887713787555922 -0.023837809474812 0.896764207057846;0 0 0 1]
90,1.64E+12,1,0.0239019 -0.00451086 0.0571615 -0.31682 0.0 0.0,0.7856 -1.30723 0.109748 0.150705 0.702562 -0.115949 -0.465936 0.300144 0.759531 0.0571457,0.0108105 0.0226286 0.0583766 -0.681666 0.171839 -0.711194 -0.327098 -0.941057 0.0861373 -0.654472 0.291348 0.697696,[0.0177740291152119 0.0683304005303074 -0.997504406131812 1.02896638050618;-0.974548781876858 0.224166533008316 -0.00200928379363984 -0.090053558363061;0.223469809216689 0.972152416981205 0.0705756510863145 0.933966388374263;0 0 0 1]
