,TimeStamp,USM,SUJvalues,JointValues,EndoscopePosition
0,1637934735270.0,2,0.515415 -0.0506206 0.0316276 -0.36284 0.0 0.0,0.785722 -0.279753 0.447626 0.11519 0.0934832 0.0 0.0 0.0 0.00133371 0.0316119,-0.00995716 0.0710598 -0.933139 -0.966592 0.0699882 -0.246579 -0.148727 0.630354 0.761929 0.208758 0.773148 -0.598886
1,1637934735270.0,2,0.515415 -0.0506206 0.0316276 -0.36284 0.0 0.0,0.785722 -0.279753 0.447626 0.11519 0.0934832 0.0 0.0 0.0 0.00133371 0.0316119,-0.00995716 0.0710598 -0.933139 -0.966592 0.0699882 -0.246579 -0.148727 0.630354 0.761929 0.208758 0.773148 -0.598886
2,1637934735270.0,2,0.515415 -0.0506206 0.0316276 -0.36284 0.0 0.0,0.785722 -0.279753 0.447626 0.11519 0.0934832 0.0 0.0 0.0 0.00133371 0.0316119,-0.00995716 0.0710598 -0.933139 -0.966592 0.0699882 -0.246579 -0.148727 0.630354 0.761929 0.208758 0.773148 -0.598886
3,1637934735270.0,2,0.515415 -0.0506206 0.0316276 -0.36284 0.0 0.0,0.785722 -0.279753 0.447626 0.11519 0.0934832 0.0 0.0 0.0 0.00133371 0.0316119,-0.00995716 0.0710598 -0.933139 -0.966592 0.0699882 -0.246579 -0.148727 0.630354 0.761929 0.208758 0.773148 -0.598886
4,1637934735270.0,2,0.515415 -0.0506206 0.0316276 -0.36284 0.0 0.0,0.785722 -0.279753 0.447626 0.11519 0.0934832 0.0 0.0 0.0 0.00133371 0.0316119,-0.00995716 0.0710598 -0.933139 -0.966592 0.0699882 -0.246579 -0.148727 0.630354 0.761929 0.208758 0.773148 -0.598886
5,1637934735290.0,2,0.515415 -0.0506206 0.0316276 -0.36284 0.0 0.0,0.785722 -0.279751 0.447626 0.11519 0.0934832 0.0 0.0 0.0 0.00129795 0.0316119,-0.00995716 0.0710598 -0.933139 -0.966592 0.0699882 -0.246579 -0.148727 0.630354 0.761929 0.208758 0.773148 -0.598886
6,1637934735290.0,2,0.515415 -0.0506206 0.0316276 -0.36284 0.0 0.0,0.785722 -0.279751 0.447626 0.11519 0.0934832 0.0 0.0 0.0 0.00129795 0.0316119,-0.00995716 0.0710598 -0.933139 -0.966592 0.0699882 -0.246579 -0.148727 0.630354 0.761929 0.208758 0.773148 -0.598886
7,1637934735290.0,2,0.515415 -0.0506206 0.0316276 -0.36284 0.0 0.0,0.785722 -0.279751 0.447626 0.11519 0.0934832 0.0 0.0 0.0 0.00129795 0.0316119,-0.00995716 0.0710598 -0.933139 -0.966592 0.0699882 -0.246579 -0.148727 0.630354 0.761929 0.208758 0.773148 -0.598886
8,1637934735480.0,2,0.515415 -0.0506206 0.0316276 -0.36284 0.0 0.0,0.785722 -0.279753 0.447626 0.11519 0.0934763 0.0 0.0 0.0 0.00127983 0.0316119,-0.00995716 0.0710598 -0.933139 -0.966592 0.0699882 -0.246579 -0.148727 0.630354 0.761929 0.208758 0.773148 -0.598886
9,1637934735480.0,2,0.515415 -0.0506206 0.0316276 -0.36284 0.0 0.0,0.785722 -0.279753 0.447626 0.11519 0.0934763 0.0 0.0 0.0 0.00127983 0.0316119,-0.00995716 0.0710598 -0.933139 -0.966592 0.0699882 -0.246579 -0.148727 0.630354 0.761929 0.208758 0.773148 -0.598886
10,1637934735480.0,2,0.515415 -0.0506206 0.0316276 -0.36284 0.0 0.0,0.785722 -0.279753 0.447626 0.11519 0.0934763 0.0 0.0 0.0 0.00127983 0.0316119,-0.00995716 0.0710598 -0.933139 -0.966592 0.0699882 -0.246579 -0.148727 0.630354 0.761929 0.208758 0.773148 -0.598886
