,TimeStamp,USM,SUJvalues,JointValues,EndoscopePosition
0,1637934735270.0,1,0.0239019 -0.00451086 0.0571615 -0.316916 0.0 0.0,0.7856 -1.2876 -0.000221372 0.156994 0.605944 -0.185094 -0.503423 -1.28263 0.759277 0.0571457,-0.0038175 0.032391 0.0842134 -0.58129 0.164597 -0.796871 -0.218932 -0.974851 -0.0416568 -0.783687 0.150246 0.602709
1,1637934735270.0,1,0.0239019 -0.00451086 0.0571615 -0.316916 0.0 0.0,0.7856 -1.2876 -0.000221372 0.156994 0.605944 -0.185094 -0.503423 -1.28263 0.759277 0.0571457,-0.0038175 0.032391 0.0842134 -0.58129 0.164597 -0.796871 -0.218932 -0.974851 -0.0416568 -0.783687 0.150246 0.602709
2,1637934735270.0,1,0.0239019 -0.00451086 0.0571615 -0.316916 0.0 0.0,0.7856 -1.2876 -0.000221372 0.156994 0.605944 -0.185094 -0.503423 -1.28263 0.759277 0.0571457,-0.0038175 0.032391 0.0842134 -0.58129 0.164597 -0.796871 -0.218932 -0.974851 -0.0416568 -0.783687 0.150246 0.602709
3,1637934735270.0,1,0.0239019 -0.00451086 0.0571615 -0.316916 0.0 0.0,0.7856 -1.2876 -0.000221372 0.156994 0.605944 -0.185094 -0.503423 -1.28263 0.759277 0.0571457,-0.0038175 0.032391 0.0842134 -0.58129 0.164597 -0.796871 -0.218932 -0.974851 -0.0416568 -0.783687 0.150246 0.602709
4,1637934735270.0,1,0.0239019 -0.00451086 0.0571615 -0.316916 0.0 0.0,0.7856 -1.2876 -0.000221372 0.156994 0.605944 -0.185094 -0.503423 -1.28263 0.759277 0.0571457,-0.0038175 0.032391 0.0842134 -0.58129 0.164597 -0.796871 -0.218932 -0.974851 -0.0416568 -0.783687 0.150246 0.602709
5,1637934735290.0,1,0.0239019 -0.00451086 0.0571615 -0.31682 0.0 0.0,0.7856 -1.28933 0.00679731 0.156972 0.613983 -0.189983 -0.501147 -1.28198 0.759314 0.0571457,-0.00363818 0.0330435 0.0841544 -0.583185 0.179024 -0.792363 -0.228001 -0.972279 -0.0518646 -0.779683 0.150413 0.607838
6,1637934735290.0,1,0.0239019 -0.00451086 0.0571615 -0.31682 0.0 0.0,0.7856 -1.28933 0.00679731 0.156972 0.613983 -0.189983 -0.501147 -1.28198 0.759314 0.0571457,-0.00363818 0.0330435 0.0841544 -0.583185 0.179024 -0.792363 -0.228001 -0.972279 -0.0518646 -0.779683 0.150413 0.607838
7,1637934735290.0,1,0.0239019 -0.00451086 0.0571615 -0.31682 0.0 0.0,0.7856 -1.28933 0.00679731 0.156972 0.613983 -0.189983 -0.501147 -1.28198 0.759314 0.0571457,-0.00363818 0.0330435 0.0841544 -0.583185 0.179024 -0.792363 -0.228001 -0.972279 -0.0518646 -0.779683 0.150413 0.607838
8,1637934735480.0,1,0.0239019 -0.00451086 0.0571615 -0.316916 0.0 0.0,0.7856 -1.29718 0.0339497 0.156958 0.707188 -0.271396 -0.505981 -1.28063 0.759187 0.0571457,-0.00296876 0.0342551 0.0839133 -0.586129 0.262017 -0.766677 -0.265824 -0.956076 -0.123523 -0.765366 0.131401 0.630036
9,1637934735480.0,1,0.0239019 -0.00451086 0.0571615 -0.316916 0.0 0.0,0.7856 -1.29718 0.0339497 0.156958 0.707188 -0.271396 -0.505981 -1.28063 0.759187 0.0571457,-0.00296876 0.0342551 0.0839133 -0.586129 0.262017 -0.766677 -0.265824 -0.956076 -0.123523 -0.765366 0.131401 0.630036
10,1637934735480.0,1,0.0239019 -0.00451086 0.0571615 -0.316916 0.0 0.0,0.7856 -1.29718 0.0339497 0.156958 0.707188 -0.271396 -0.505981 -1.28063 0.759187 0.0571457,-0.00296876 0.0342551 0.0839133 -0.586129 0.262017 -0.766677 -0.265824 -0.956076 -0.123523 -0.765366 0.131401 0.630036
11,1637934735520.0,1,0.0239019 -0.00451086 0.0571615 -0.316916 0.0 0.0,0.7856 -1.29701 0.0350467 0.156887 0.712469 -0.271338 -0.509216 -1.28586 0.759241 0.0571457,-0.00267482 0.0345056 0.083877 -0.588211 0.259586 -0.765909 -0.266196 -0.956455 -0.119731 -0.763638 0.133455 0.6317
12,1637934735540.0,1,0.0239019 -0.00451086 0.0571615 -0.31682 0.0 0.0,0.7856 -1.29683 0.0359849 0.156859 0.713177 -0.270879 -0.509591 -1.28585 0.759277 0.0571457,-0.00252171 0.0347645 0.0838881 -0.588857 0.254515 -0.767114 -0.264157 -0.957607 -0.114944 -0.763848 0.134954 0.631127
13,1637934735580.0,1,0.0239019 -0.00451086 0.0571615 -0.316916 0.0 0.0,0.7856 -1.29641 0.0392231 0.15686 0.70871 -0.268955 -0.511154 -1.28584 0.759277 0.0571457,-0.00223185 0.0356113 0.0839744 -0.589456 0.237891 -0.771974 -0.257736 -0.961093 -0.0993716 -0.765577 0.140391 0.627836
14,1637934735600.0,1,0.0239019 -0.00451086 0.0571615 -0.31682 0.0 0.0,0.7856 -1.29631 0.0417928 0.156899 0.702896 -0.266846 -0.512799 -1.2858 0.759331 0.0571457,-0.00209288 0.0362226 0.0840437 -0.590494 0.22677 -0.774524 -0.253298 -0.963294 -0.0889274 -0.766259 0.143674 0.626262
15,1637934735640.0,1,0.0239019 -0.00451086 0.0571615 -0.31682 0.0 0.0,0.7856 -1.29661 0.048252 0.157148 0.686764 -0.260809 -0.515538 -1.28699 0.759314 0.0571457,-0.00204982 0.0375964 0.0842563 -0.590523 0.207629 -0.779851 -0.244518 -0.966947 -0.072287 -0.769083 0.148002 0.621775
16,1637934735680.0,1,0.0239019 -0.00451086 0.0571615 -0.31682 0.0 0.0,0.7856 -1.29835 0.0551258 0.157587 0.671448 -0.256505 -0.516052 -1.28552 0.759404 0.0571457,-0.00231551 0.0387657 0.0845184 -0.589083 0.199039 -0.783172 -0.241022 -0.968353 -0.0648115 -0.771287 0.150583 0.618415
17,1637934735700.0,1,0.0239019 -0.00451086 0.0571615 -0.31682 0.0 0.0,0.7856 -1.2997 0.058149 0.157856 0.666706 -0.255875 -0.516362 -1.28564 0.759331 0.0571457,-0.00259905 0.0390852 0.0846739 -0.587734 0.198267 -0.784381 -0.239732 -0.968647 -0.0652136 -0.772718 0.149714 0.61684
18,1637934735740.0,1,0.0239019 -0.00451086 0.0571615 -0.31682 0.0 0.0,0.7856 -1.30245 0.0614136 0.15843 0.663103 -0.25643 -0.515965 -1.28576 0.759295 0.0571457,-0.00316118 0.0391323 0.0849835 -0.579936 0.206001 -0.788182 -0.239434 -0.967871 -0.0767931 -0.778679 0.144184 0.610629
19,1637934735770.0,1,0.023838 -0.00451086 0.0571615 -0.316916 0.0 0.0,0.7856 -1.305 0.0618719 0.159009 0.666809 -0.262559 -0.517436 -1.2882 0.75944 0.0571457,-0.00379783 0.0388684 0.08533 -0.578234 0.225959 -0.783953 -0.240989 -0.965313 -0.100483 -0.779465 0.130822 0.612632
20,1637934735800.0,1,0.023838 -0.00451086 0.0571615 -0.31682 0.0 0.0,0.7856 -1.306 0.0616115 0.159266 0.672382 -0.270684 -0.519701 -1.29544 0.759259 0.0571457,-0.0040119 0.0386943 0.085478 -0.579382 0.235401 -0.780318 -0.242366 -0.963837 -0.110809 -0.778184 0.124923 0.615485
21,1637934735840.0,1,0.0239019 -0.00451086 0.0571615 -0.316916 0.0 0.0,0.7856 -1.3074 0.0599005 0.159703 0.685549 -0.288872 -0.521728 -1.31609 0.759314 0.0571457,-0.00430199 0.0383544 0.0857412 -0.581139 0.246872 -0.775452 -0.244845 -0.961768 -0.122697 -0.776095 0.118563 0.619368
22,1637934735880.0,1,0.0239019 -0.00451086 0.0571615 -0.316916 0.0 0.0,0.7856 -1.308 0.0572965 0.159985 0.694262 -0.298645 -0.521988 -1.30743 0.759331 0.0571457,-0.0044376 0.0379035 0.0858213 -0.576734 0.254114 -0.776401 -0.247895 -0.960016 -0.130068 -0.77841 0.117452 0.616669
23,1637934735910.0,1,0.0239019 -0.00451086 0.0571615 -0.31682 0.0 0.0,0.7856 -1.30788 0.054077 0.159972 0.701311 -0.300134 -0.525639 -1.30467 0.759386 0.0571457,-0.00432978 0.0371455 0.085554 -0.56461 0.263844 -0.782046 -0.249193 -0.957804 -0.143234 -0.786838 0.114009 0.606536
