,TimeStamp,USM,SUJvalues,JointValues,EndoscopePosition
0,1637934735270.0,0,0.141825 0.0516515 0.0702158 0.0275629 0.0 0.0,0.785732 -2.12628 -0.248691 0.108219 -4.79935 -0.0851536 -0.285155 -0.346378 0.75852 0.0702158,0.079164 0.0497097 0.0486779 -0.633072 0.361971 -0.68425 -0.639179 -0.743058 0.19829 -0.436661 0.562889 0.701773
1,1637934735270.0,0,0.141825 0.0516515 0.0702158 0.0275629 0.0 0.0,0.785732 -2.12628 -0.248691 0.108219 -4.79935 -0.0851536 -0.285155 -0.346378 0.75852 0.0702158,0.079164 0.0497097 0.0486779 -0.633072 0.361971 -0.68425 -0.639179 -0.743058 0.19829 -0.436661 0.562889 0.701773
2,1637934735270.0,0,0.141825 0.0516515 0.0702158 0.0275629 0.0 0.0,0.785732 -2.12628 -0.248691 0.108219 -4.79935 -0.0851536 -0.285155 -0.346378 0.75852 0.0702158,0.079164 0.0497097 0.0486779 -0.633072 0.361971 -0.68425 -0.639179 -0.743058 0.19829 -0.436661 0.562889 0.701773
3,1637934735270.0,0,0.141825 0.0516515 0.0702158 0.0275629 0.0 0.0,0.785732 -2.12628 -0.248691 0.108219 -4.79935 -0.0851536 -0.285155 -0.346378 0.75852 0.0702158,0.079164 0.0497097 0.0486779 -0.633072 0.361971 -0.68425 -0.639179 -0.743058 0.19829 -0.436661 0.562889 0.701773
4,1637934735270.0,0,0.141825 0.0516515 0.0702158 0.0275629 0.0 0.0,0.785732 -2.12628 -0.248691 0.108219 -4.79935 -0.0851536 -0.285155 -0.346378 0.75852 0.0702158,0.079164 0.0497097 0.0486779 -0.633072 0.361971 -0.68425 -0.639179 -0.743058 0.19829 -0.436661 0.562889 0.701773
5,1637934735290.0,0,0.141889 0.0516515 0.0702158 0.0276588 0.0 0.0,0.785732 -2.12628 -0.248691 0.108219 -4.79933 -0.0851498 -0.285152 -0.346378 0.758574 0.0702158,0.079164 0.0497097 0.0486779 -0.633072 0.361971 -0.68425 -0.639179 -0.743058 0.19829 -0.436661 0.562889 0.701773
6,1637934735290.0,0,0.141889 0.0516515 0.0702158 0.0276588 0.0 0.0,0.785732 -2.12628 -0.248691 0.108219 -4.79933 -0.0851498 -0.285152 -0.346378 0.758574 0.0702158,0.079164 0.0497097 0.0486779 -0.633072 0.361971 -0.68425 -0.639179 -0.743058 0.19829 -0.436661 0.562889 0.701773
7,1637934735290.0,0,0.141889 0.0516515 0.0702158 0.0276588 0.0 0.0,0.785732 -2.12628 -0.248691 0.108219 -4.79933 -0.0851498 -0.285152 -0.346378 0.758574 0.0702158,0.079164 0.0497097 0.0486779 -0.633072 0.361971 -0.68425 -0.639179 -0.743058 0.19829 -0.436661 0.562889 0.701773
8,1637934735480.0,0,0.141825 0.0516515 0.0702158 0.0276588 0.0 0.0,0.785732 -2.12628 -0.248691 0.108219 -4.79933 -0.0851498 -0.285156 -0.346384 0.758574 0.0702158,0.079164 0.0497097 0.0486779 -0.633072 0.361971 -0.68425 -0.639179 -0.743058 0.19829 -0.436661 0.562889 0.701773
9,1637934735480.0,0,0.141825 0.0516515 0.0702158 0.0276588 0.0 0.0,0.785732 -2.12628 -0.248691 0.108219 -4.79933 -0.0851498 -0.285156 -0.346384 0.758574 0.0702158,0.079164 0.0497097 0.0486779 -0.633072 0.361971 -0.68425 -0.639179 -0.743058 0.19829 -0.436661 0.562889 0.701773
