,TimeStamp,USM,SUJvalues,JointValues,EndoscopePosition,EE
95,1.64E+12,3.00E+00,0.45511 0.0421889 0.0241563 -0.476976 0.0 0.0,0.788387 0.588386 -0.149177 0.12917 0.736713 0.213331 0.0389643 -1.24453 0.764084 0.0241563,-0.00559744 -0.00300836 0.0583533 -0.363082 0.875183 0.319721 -0.87753 -0.436543 0.198424 0.313232 -0.208522 0.9265,[-0.185140500895981 0.948313855617699 -0.257728202126735 0.712530234916419;0.604845566761024 0.316664066512316 0.730674831473904 0.141028602613249;0.774522327178191 -0.0206082561944795 -0.632210775358268 1.00127254082846;0 0 0 1]
100,1.64E+12,3.00E+00,0.45511 0.0421889 0.0241563 -0.476976 0.0 0.0,0.788387 0.588964 -0.149752 0.129063 0.740931 0.206606 0.0511534 -1.23804 0.764048 0.0241563,-0.00566266 -0.00296552 0.0584095 -0.362568 0.873252 0.325531 -0.877503 -0.43753 0.196357 0.313901 -0.214464 0.924916,[-0.18232458576899 0.949055270313716 -0.257005523897688 0.718759697953186;0.586603412535743 0.314766157010812 0.7462028563347 0.142743593772073;0.789084394615422 -0.014709190678059 -0.614108669442151 1.00100459645845;0 0 0 1]
104,1.64E+12,3.00E+00,0.455174 0.0421889 0.0241563 -0.476976 0.0 0.0,0.788387 0.588404 -0.149869 0.129062 0.742497 0.199755 0.0529881 -1.2412 0.764084 0.0241563,-0.00557888 -0.00313771 0.058422 -0.359281 0.872379 0.331461 -0.878927 -0.435702 0.194037 0.313695 -0.221618 0.923297,[-0.178017243005754 0.950299528366393 -0.255422527548455 0.725279652928035;0.587793677797815 0.310863072727539 0.746902096901134 0.143858618994506;0.789182142178565 -0.0171742947745636 -0.613919041947265 0.999688486658734;0 0 0 1]
110,1.64E+12,3.00E+00,0.455174 0.0421889 0.0241563 -0.47688 0.0 0.0,0.788387 0.588947 -0.151192 0.128988 0.746075 0.194266 0.0553317 -1.24345 0.763994 0.0241563,-0.00539935 -0.00326553 0.0582199 -0.356038 0.869981 0.341126 -0.879803 -0.435105 0.191396 0.314938 -0.231981 0.920325,[-0.173463946235067 0.951323675600676 -0.254742072689567 0.73049200556869;0.588110363858942 0.307539973926275 0.748027649461655 0.145212878200503;0.789959783329671 -0.020060625091082 -0.612830410507421 0.999217213923014;0 0 0 1]
115,1.64E+12,3.00E+00,0.455046 0.0421889 0.0241563 -0.476976 0.0 0.0,0.788387 0.592267 -0.153006 0.129018 0.746257 0.184542 0.0569574 -1.2508 0.764102 0.0241563,-0.00472967 -0.00340998 0.0580163 -0.3552 0.865015 0.354369 -0.879106 -0.437995 0.187979 0.317818 -0.244759 0.916016,[-0.168542403211983 0.951965892684627 -0.255645061530024 0.740072906372975;0.593889115034855 0.305068148599357 0.744465676679106 0.146044303300172;0.786695098092423 -0.0263507850987653 -0.616779100458204 0.997042727163519;0 0 0 1]
120,1.64E+12,3.00E+00,0.45511 0.0421889 0.0241563 -0.476976 0.0 0.0,0.788386 0.60688 -0.165919 0.128524 0.605198 0.208547 0.0556194 -1.21094 0.764229 0.0241563,-0.0027997 -0.00343568 0.0555338 -0.54012 0.761557 0.358186 -0.724312 -0.637369 0.262931 0.428536 -0.117426 0.89586,[-0.336257987860536 0.892446548039538 -0.300781855324248 0.73269472190772;0.499966912307082 0.439820469282453 0.746050294147979 0.108739569975425;0.798100026436603 0.100484395268501 -0.594086891043236 0.968722361649421;0 0 0 1]
125,1.64E+12,3.00E+00,0.455174 0.0421889 0.0241563 -0.476976 0.0 0.0,0.788387 0.633789 -0.177112 0.122215 0.159569 0.437653 0.225162 0.0499098 0.764266 0.0241563,-0.00567803 -0.00128017 0.046724 -0.636841 0.613466 0.467 -0.324114 -0.76261 0.559801 0.699561 0.205142 0.684492,[0.0557317173667498 -0.402647518855882 -0.913656911120665 0.630905031448433;-0.943154369581841 0.279060856206058 -0.180512807501913 -0.116187096417322;0.327648913958269 0.871779796790878 -0.364206226044013 0.827556080813544;0 0 0 1]
130,1.64E+12,3.00E+00,0.45511 0.0421889 0.0241563 -0.476976 0.0 0.0,0.788386 0.663704 -0.131941 0.118029 0.260975 0.367289 0.262063 0.314189 0.763741 0.0241563,-0.0048362 0.00511295 0.0447463 -0.574044 0.676112 0.46189 -0.472476 -0.734214 0.487541 0.668761 0.0616373 0.740916,[0.255243299378321 -0.480140477724974 -0.839235354219842 0.649481540336344;-0.910879273735789 0.171692201864219 -0.37526089124445 -0.0599452625878958;0.324268109441912 0.860224917954049 -0.393526725559927 0.881434933608362;0 0 0 1]
135,1.64E+12,3.00E+00,0.45511 0.0421889 0.0241563 -0.476976 0.0 0.0,0.788389 0.680573 -0.0896196 0.122723 0.388009 0.264167 0.109065 0.268779 0.764193 0.0241563,-0.00229375 0.00853017 0.050262 -0.551389 0.744708 0.376001 -0.642921 -0.666538 0.377332 0.531624 -0.0336837 0.846309,[0.127721585546035 -0.399231988642533 -0.907910246571838 0.700281302349949;-0.816224162717472 0.477726847755754 -0.324892559363112 0.0158306194707333;0.56344060270961 0.782554073644678 -0.264846765206508 0.929016400869289;0 0 0 1]
140,1.64E+12,3.00E+00,0.45511 0.0421889 0.0241563 -0.476976 0.0 0.0,0.788386 0.669913 -0.0852813 0.128289 0.450426 0.225828 -0.130283 0.306362 0.764193 0.0241563,-0.000729014 0.00858969 0.0543188 -0.599219 0.755459 0.264978 -0.744717 -0.647462 0.161834 0.293825 -0.100361 0.950575,[0.0860398449608245 -0.483889993568594 -0.870888982134522 0.721706322229954;-0.554194034541467 0.703166303493579 -0.445450470546197 0.0431114998072044;0.827928811648543 0.520967968070363 -0.20766862807576 0.942134926451979;0 0 0 1]
