,TimeStamp,USM,SUJvalues,JointValues,EndoscopePosition
2060,1.63793E+12,3,0.45511 0.0421889 0.0241563 -0.47688 0.0 0.0,0.788387 0.786778 -0.399796 0.109497 0.506132 0.827471 0.401613 -0.226423 0.763994 0.0241563,-0.00266616 -0.018842 0.0481421 -0.652529 0.644574 0.398407 -0.429631 -0.747797 0.50618 0.6242 0.159126 0.764887
2061,1.63793E+12,3,0.45511 0.0421889 0.0241563 -0.476976 0.0 0.0,0.788386 0.786763 -0.399754 0.109499 0.50607 0.827447 0.401543 -0.22643 0.763994 0.0241563,-0.00266172 -0.0188341 0.0481498 -0.652535 0.644589 0.398372 -0.429606 -0.747768 0.506243 0.624212 0.159196 0.764863
2062,1.63793E+12,3,0.45511 0.0421889 0.0241563 -0.476976 0.0 0.0,0.788386 0.786761 -0.399758 0.109507 0.506053 0.827436 0.40148 -0.22646 0.764084 0.0241563,-0.00265969 -0.0188308 0.0481532 -0.652537 0.644597 0.398357 -0.429594 -0.747756 0.506272 0.624217 0.159227 0.764852
2063,1.63793E+12,3,0.45511 0.0421889 0.0241563 -0.47688 0.0 0.0,0.788386 0.786767 -0.399757 0.109507 0.506046 0.827426 0.401472 -0.226468 0.764048 0.0241563,-0.00265921 -0.0188299 0.048154 -0.652538 0.644598 0.398353 -0.429591 -0.747752 0.506279 0.624219 0.159234 0.76485
2064,1.63793E+12,3,0.45511 0.0421889 0.0241563 -0.47688 0.0 0.0,0.788386 0.786763 -0.399751 0.109506 0.506053 0.827419 0.401478 -0.22641 0.764084 0.0241563,-0.0068731 0.0135718 0.059401 -0.636834 0.690263 0.343478 -0.342772 -0.652524 0.67581 0.690618 0.312642 0.652151
2065,1.63793E+12,3,0.455174 0.0421889 0.0241563 -0.476976 0.0 0.0,0.788386 0.786773 -0.399763 0.109509 0.506056 0.827412 0.401459 -0.226435 0.763994 0.0241563,-0.0071697 0.0148426 0.0597974 -0.638774 0.689337 0.341732 -0.337371 -0.650131 0.680817 0.691486 0.319596 0.647848
2066,1.63793E+12,3,0.45511 0.0421889 0.0241563 -0.47688 0.0 0.0,0.788386 0.786769 -0.399766 0.109509 0.506063 0.827217 0.400742 -0.20117 0.764102 0.0241563,-0.00717492 0.0148391 0.0598006 -0.638387 0.690001 0.341114 -0.33831 -0.649597 0.680861 0.691384 0.319249 0.648127
2067,1.63793E+12,3,0.455046 0.0421889 0.0241563 -0.47688 0.0 0.0,0.788386 0.786759 -0.39979 0.109524 0.507856 0.82657 0.400516 -0.116048 0.764121 0.0241563,-0.00716273 0.0147162 0.0598977 -0.637243 0.693987 0.335115 -0.345778 -0.646084 0.680453 0.68874 0.317736 0.651677
2068,1.63793E+12,3,0.455174 0.0421889 0.0241563 -0.476976 0.0 0.0,0.788386 0.786763 -0.400341 0.109699 0.514581 0.827169 0.400049 0.0775032 0.763903 0.0241563,-0.0069684 0.0144603 0.0602042 -0.636144 0.694969 0.335166 -0.348766 -0.646487 0.678542 0.688249 0.314755 0.653639
2069,1.63793E+12,3,0.45511 0.0421889 0.0241563 -0.47688 0.0 0.0,0.788386 0.786859 -0.401935 0.110029 0.518354 0.826437 0.401682 0.247324 0.763976 0.0241563,-0.00647756 0.0140663 0.0605825 -0.632227 0.693872 0.344715 -0.349687 -0.652572 0.672214 0.691384 0.304448 0.65521
2070,1.63793E+12,3,0.45511 0.0421889 0.0241563 -0.47688 0.0 0.0,0.788386 0.787419 -0.40324 0.110219 0.518764 0.822961 0.403201 0.279124 0.764048 0.0241563,-0.00623762 0.0136421 0.0607349 -0.620567 0.700933 0.351551 -0.357713 -0.651999 0.668537 0.697813 0.289116 0.655341
2071,1.63793E+12,3,0.45511 0.0421889 0.0241563 -0.476976 0.0 0.0,0.788386 0.789865 -0.408206 0.110682 0.537092 0.807259 0.421076 0.293016 0.764084 0.0241563,-0.00555688 0.0124077 0.0609459 -0.588309 0.715051 0.377613 -0.374847 -0.654925 0.656174 0.716509 0.244485 0.653332
2072,1.63793E+12,3,0.45511 0.0421889 0.0241563 -0.47688 0.0 0.0,0.788386 0.794705 -0.417879 0.111199 0.573406 0.780603 0.459566 0.0786817 0.764084 0.0241563,-0.00443087 0.0104734 0.060871 -0.562793 0.719471 0.406969 -0.388397 -0.664777 0.638139 0.729668 0.201073 0.653571
